Begin Time (s)	End Time (s)	Begin File	File Offset (s)	Begin Path	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File.1	Treatment	Saturation	selec.file	ID	year	extsn	cuts	org.sound.file	old.selec
90.449104327	90.579951711	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	5.369104327	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	38	Spectrogram 1	1	2294.1	10764.7	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	8
90.968132284	91.107702827	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	5.888132284	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	39	Spectrogram 1	1	2647.1	9882.4	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	9
111.384685762	111.524256305	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	26.304685762	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	40	Spectrogram 1	1	2823.5	12705.9	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	11
112.021476364	112.156685328	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	26.941476364	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	41	Spectrogram 1	1	3000	12352.9	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	12
112.501250106	112.63209749	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	27.421250106	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	42	Spectrogram 1	1	2470.6	11823.5	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	13
113.186018082	113.334311784	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	28.106018082	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	43	Spectrogram 1	1	3882.4	11470.6	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	14
113.801000787	113.953656069	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	28.721000787	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	44	Spectrogram 1	1	4235.3	11294.1	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	15
114.450876128	114.573000353	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	29.370876128	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	45	Spectrogram 1	1	2823.5	10941.2	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	16
115.070220413	115.183621479	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	29.990220413	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	46	Spectrogram 1	1	4058.8	11823.5	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	17
115.728818913	115.859666297	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	30.648818913	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	47	Spectrogram 1	1	3882.4	12529.4	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	18
